person_id,season,contract_type,total_value,guaranteed_value,current_salary,cap_hit,years_remaining,as_of_date,source,source_url,salary,guaranteed,player_option,team_option,early_termination_option
1630631,2026-27,NBA contract,,,4439656,4439656,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,4439656,,0,0,0
1630631,2027-28,NBA contract,,,4439656,4439656,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,4794828,,0,0,0
1630631,2028-29,NBA contract,,,4439656,4439656,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,5150000,,0,0,0
1630540,2026-27,NBA contract,,,3956523,3956523,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,3956523,,0,0,0
203903,2026-27,NBA contract,,,3876529,3876529,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,3876529,,0,0,0
203083,2026-27,NBA contract,,,3876529,3876529,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,3876529,,0,0,0
1631096,2026-27,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,41240250,,0,0,0
1631096,2027-28,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,44539470,,0,0,0
1631096,2028-29,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,47838690,,0,0,0
1631096,2029-30,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,51137910,,0,0,0
1631114,2026-27,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,41240250,,0,0,0
1631114,2027-28,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,44539470,,0,0,0
1631114,2028-29,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,47838690,,0,0,0
1631114,2029-30,NBA contract,,,41240250,41240250,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,51137910,,0,0,0
1627936,2026-27,NBA contract,,,19550160,19550160,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,19550160,,0,0,0
1627936,2027-28,NBA contract,,,19550160,19550160,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,20998320,,0,0,0
1627936,2028-29,NBA contract,,,19550160,19550160,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,22446480,,0,0,0
1631119,2026-27,NBA contract,,,7774648,7774648,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,7774648,,0,0,0
1631119,2027-28,NBA contract,,,7774648,7774648,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,7774648,,0,1,0
1641717,2026-27,NBA contract,,,7421121,7421121,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,7421121,,0,0,0
1641717,2027-28,NBA contract,,,7421121,7421121,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,10849678,,0,0,0
1629026,2026-27,NBA contract,,,5000000,5000000,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/oklahoma-city-thunder/25/,5000000,,0,0,0
201142,2026-27,NBA contract,,,43902439,43902439,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,43902439,,0,0,0
201142,2027-28,NBA contract,,,43902439,43902439,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,46097561,,1,0,0
1630578,2026-27,NBA contract,,,35642202,35642202,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,35642202,,0,0,0
1630578,2027-28,NBA contract,,,35642202,35642202,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,37339450,,0,0,0
1630578,2028-29,NBA contract,,,35642202,35642202,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,39036697,,0,0,0
1630578,2029-30,NBA contract,,,35642202,35642202,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,39036697,,1,0,0
1627832,2026-27,NBA contract,,,25000000,25000000,1,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,25000000,,0,0,0
1631106,2026-27,NBA contract,,,14053356,14053356,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,14053356,,0,0,0
1631106,2027-28,NBA contract,,,14053356,14053356,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,15177624,,0,0,0
1631106,2028-29,NBA contract,,,14053356,14053356,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,16301892,,0,0,0
1631106,2029-30,NBA contract,,,14053356,14053356,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,17426160,,0,0,0
203500,2026-27,NBA contract,,,13000000,13000000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,13000000,,0,0,0
203500,2027-28,NBA contract,,,13000000,13000000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,11869566,,0,0,0
1641708,2026-27,NBA contract,,,12258119,12258119,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,12258119,,0,0,0
1641708,2027-28,NBA contract,,,12258119,12258119,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,17394270,,0,0,0
1642263,2026-27,NBA contract,,,11108880,11108880,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,11108880,,0,0,0
1642263,2027-28,NBA contract,,,11108880,11108880,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,14041624,,0,1,0
1642263,2028-29,NBA contract,,,11108880,11108880,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,19826773,,0,0,0
203991,2026-27,NBA contract,,,7035000,7035000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,7035000,,0,0,0
203991,2027-28,NBA contract,,,7035000,7035000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,7370000,,0,0,0
203935,2026-27,NBA contract,,,6064000,6064000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,6064000,,0,0,0
203935,2027-28,NBA contract,,,6064000,6064000,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/houston-rockets/10/,6367200,,1,0,0
1627759,2026-27,NBA contract,,,57736350,57736350,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/philadelphia-76ers/20/,57736350,,0,0,0
1627759,2027-28,NBA contract,,,57736350,57736350,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/philadelphia-76ers/20/,61672814,,0,0,0
